    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.232e+02   8.784e-01   4.297e+01
         1.0   1.229e+02   9.722e-02   1.339e+02
         1.0   1.241e+02   4.443e-01   1.636e+02
         1.0   1.109e+02   7.528e-01   1.003e+02
         1.0   1.233e+02   4.895e-01   7.313e+01
         1.0   1.233e+02   8.104e-01   7.933e+01
         1.0   1.259e+02   8.613e-01   2.475e+01
         1.0   1.163e+02   2.477e-01   6.605e+01
         1.0   1.220e+02   6.687e-01   1.253e+02
         1.0   1.255e+02   5.999e-01   4.330e+01
         1.0   1.266e+02   2.478e-01   1.351e+01
         1.0   1.238e+02   6.422e-01   1.263e+02
         1.0   1.218e+02   5.176e-01   1.088e+02
         1.0   1.247e+02   5.962e-01   2.131e+02
         1.0   1.281e+02   4.859e-01   1.223e+02
         1.0   1.254e+02   8.271e-01   3.642e+02
         1.0   1.221e+02   7.452e-01   1.267e+02
         1.0   1.256e+02   4.325e-01   3.368e+02
         1.0   1.257e+02   8.791e-01   4.843e+01
         1.0   1.254e+02   4.669e-01   6.276e+00
         1.0   1.231e+02   6.129e-01   2.727e+01
         1.0   1.263e+02   6.952e-01   9.561e+01
         1.0   1.166e+02   3.525e-01   7.708e+01
         1.0   1.260e+02   6.030e-01   2.461e+02
         1.0   1.263e+02   5.508e-01   1.053e+02
         1.0   1.239e+02   8.293e-01   1.014e+02
         1.0   1.221e+02   5.328e-01   2.208e+01
         1.0   1.233e+02   6.486e-01   3.311e+01
         1.0   1.258e+02   5.139e-01   1.696e+02
         1.0   1.272e+02   4.247e-01   9.246e+01
         1.0   1.250e+02   8.115e-01   1.807e+01
         1.0   1.269e+02   6.035e-01   3.517e+01
         1.0   1.266e+02   7.813e-01   1.325e+02
         1.0   1.246e+02   6.599e-01   3.814e+01
         1.0   1.095e+02   3.414e-01   6.704e+01
         1.0   1.202e+02   8.089e-01   3.672e+02
         1.0   1.171e+02   7.218e-01   5.206e+01
         1.0   1.250e+02   4.971e-01   1.912e+02
         1.0   1.197e+02   8.770e-01   7.360e+01
         1.0   1.241e+02   5.820e-01   5.391e+01
         1.0   1.250e+02   8.461e-01   5.016e+01
         1.0   1.230e+02   3.647e-01   2.222e+02
         1.0   1.248e+02   6.787e-01   5.262e+01
         1.0   1.243e+02   7.177e-01   2.607e+01
         1.0   1.229e+02   6.443e-01   1.116e+02
         1.0   1.253e+02   8.745e-01   3.716e+01
         1.0   7.918e+01   2.432e-01   2.427e+01
         1.0   1.280e+02   4.500e-01   1.233e+02
         1.0   1.240e+02   8.306e-01   1.493e+01
         1.0   1.200e+02   6.588e-01   2.817e+01
         1.0   1.221e+02   8.799e-01   1.034e+02
         1.0   1.266e+02   1.337e-01   7.414e+01
         1.0   1.255e+02   4.562e-01   1.337e+02
         1.0   1.280e+02   2.609e-01   6.629e+01
         1.0   1.280e+02   4.500e-01   1.233e+02
         1.0   1.255e+02   5.677e-01   6.908e+01
         1.0   1.245e+02   3.656e-01   1.037e+02
         1.0   1.262e+02   9.454e-01   8.425e+01
         1.0   1.238e+02   9.011e-01   1.082e+02
         1.0   1.241e+02   8.958e-01   8.277e+01
         1.0   1.134e+02   2.146e-01   6.039e+01
         1.0   1.244e+02   6.355e-01   2.339e+01
         1.0   1.197e+02   7.554e-01   1.045e+02
         1.0   1.235e+02   7.277e-01   1.025e+02
         1.0   1.389e+02   2.229e-01   1.629e+02
         1.0   1.126e+02   9.158e-01   1.055e+02
         1.0   1.151e+02   2.330e-01   6.664e+01
         1.0   1.222e+02   7.067e-01   5.303e+01
         1.0   1.218e+02   7.194e-01   9.456e+01
         1.0   1.278e+02   6.300e-01   1.151e+02
         1.0   1.233e+02   9.595e-01   7.776e+01
         1.0   1.299e+02   4.642e-01   4.630e+02
         1.0   1.205e+02   7.626e-01   7.714e+01
         1.0   1.256e+02   4.973e-01   1.433e+02
         1.0   1.267e+02   5.231e-01   1.987e+02
         1.0   1.230e+02   8.943e-01   3.944e+01
         1.0   1.242e+02   4.717e-01   1.049e+02
         1.0   1.247e+02   8.376e-01   2.421e+02
         1.0   1.261e+02   2.430e-01   2.106e+02
         1.0   1.228e+02   9.340e-01   7.950e+01
         1.0   1.253e+02   7.918e-01   1.098e+02
         1.0   1.263e+02   1.322e-01   4.383e+01
         1.0   1.263e+02   3.749e-01   4.823e+01
         1.0   1.191e+02   7.132e-01   8.781e+01
