        f_mass4l     f_D_bkg_kin         f_pfmet         target
     -5.1656e-01     -5.6980e-01     -6.0786e-01               0
     -1.3495e+00      1.2610e+00     -6.5233e-01               0
     -1.2391e+00     -1.4322e+00     -6.5403e-01               0
     -1.0972e+00     -1.1870e+00      9.0938e-01               1
      4.2780e-01      1.5131e+00      2.0366e+00               1
      2.7291e-01      5.4317e-01      1.5101e-01               1
      3.3286e-01      1.4253e+00     -5.8696e-01               0
     -1.5324e+00     -1.5967e+00     -6.6815e-01               0
      5.5771e-01      3.6792e-02     -2.7378e-01               1
      3.9282e-01      1.6678e+00     -2.3610e-01               1
      4.2780e-01      4.5678e-03      1.0104e-01               1
     -1.3200e+00     -3.9523e-01     -6.5633e-01               0
      4.0781e-01      5.5380e-01     -3.0468e-01               1
      4.9276e-01      1.0860e+00     -6.1949e-01               0
     -1.3390e+00      1.7500e+00     -6.9201e-01               0
      4.2280e-01     -8.6832e-01      2.6423e+00               1
     -1.4579e+00     -1.4244e+00     -6.8889e-01               0
      2.1366e+00     -9.3135e-01     -4.8344e-01               0
      4.1281e-01      1.6880e+00     -1.0416e-02               1
     -1.3650e+00     -3.6477e-01     -4.1625e-01               0
      8.0863e-03     -1.4253e+00     -5.5848e-01               0
      7.7257e-01     -7.7236e-01     -6.2587e-01               0
      4.9775e-01     -3.7752e-01     -4.6900e-01               1
      4.3280e-01      7.7795e-01      1.4793e+00               1
     -1.2183e-01     -6.8631e-01     -5.4607e-01               0
     -9.3777e-01      3.7993e-01      2.6676e+00               1
      4.2280e-01      7.7583e-01      1.1056e-01               1
      4.9276e-01     -5.1421e-01     -1.2822e-01               1
      5.3773e-01     -1.0585e+00      1.5603e+00               1
      2.5114e+00     -1.2925e+00     -6.2889e-01               0
      2.4864e+00     -1.0454e+00     -3.8686e-01               0
     -2.9171e-01      1.7110e+00      7.2084e-02               1
      2.9289e-01      5.0245e-01     -4.5274e-01               1
     -1.2665e+00     -1.5856e+00     -6.6629e-01               0
     -1.0187e+00     -1.8028e-01     -5.9834e-01               0
     -1.2291e+00     -1.6035e+00     -6.9252e-01               0
     -1.0782e+00     -6.8808e-01     -5.5031e-01               0
      2.5292e-01      1.3491e+00     -7.6393e-03               1
      1.0923e+00      4.3906e-01     -6.2186e-01               0
     -1.1711e+00     -1.4420e+00     -6.2845e-01               0
     -1.2950e+00     -1.3530e+00     -6.0025e-01               0
     -1.4789e+00      2.2199e-01     -6.3967e-01               0
      1.8968e+00     -1.5991e+00     -5.5396e-01               0
     -1.2411e+00      4.2104e-02     -6.6335e-01               0
      4.2780e-01      1.2404e+00     -2.7616e-01               1
      2.4814e+00     -1.6628e+00     -4.8681e-01               0
     -1.4181e-01     -1.0999e+00     -5.8748e-01               0
      4.2780e-01      1.8396e+00      1.2560e+00               1
      1.3083e-02      8.0522e-01      3.5488e-01               1
      4.7277e-01     -6.7993e-01      2.3388e+00               1
     -1.1816e+00     -1.0291e+00     -6.4669e-01               0
      2.1794e-01      1.4922e+00     -5.9811e-01               1
      4.6777e-01     -8.2122e-01      5.1459e-02               1
     -3.2169e-01      6.9190e-01     -1.6748e-01               1
     -1.2451e+00     -4.3666e-01     -6.6667e-01               0
      3.3786e-01     -9.0444e-01     -9.0536e-02               1
      4.0282e-01      1.3056e+00      7.2137e-01               1
      1.9568e+00     -2.5004e-01     -6.0620e-01               0
      2.9789e-01      3.8666e-01     -1.9009e-01               1
      4.5778e-01      7.8932e-02      3.1443e-01               1
