    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   8.847e+01   3.140e-01   4.410e+02
         1.0   1.249e+02   5.083e-01   7.276e+02
         1.0   9.706e+01   4.881e-01   6.230e+02
         1.0   1.265e+02   2.653e-01   7.564e+02
         1.0   9.592e+01   2.744e-01   7.850e+02
         1.0   1.264e+02   6.241e-01   6.913e+02
         1.0   8.884e+01   7.577e-01   4.817e+02
         1.0   1.261e+02   4.449e-01   8.093e+02
         1.0   9.570e+01   8.393e-01   5.861e+02
         1.0   1.248e+02   7.335e-01   8.563e+02
         1.0   1.070e+02   6.166e-01   7.240e+02
         1.0   7.562e+01   8.372e-01   7.367e+02
         1.0   8.195e+01   3.907e-01   7.915e+02
         1.0   8.118e+01   7.473e-01   8.037e+02
         1.0   1.211e+02   8.057e-01   6.721e+02
         1.0   1.273e+02   6.991e-01   7.995e+02
         1.0   1.250e+02   2.489e-01   8.065e+02
         1.0   1.240e+02   7.102e-01   8.595e+02
         1.0   1.239e+02   5.106e-01   3.954e+02
         1.0   1.240e+02   6.858e-01   7.985e+02
         1.0   1.260e+02   6.497e-01   5.706e+02
         1.0   9.045e+01   6.133e-02   6.915e+02
         1.0   1.246e+02   3.607e-01   6.982e+02
         1.0   8.060e+01   8.722e-01   5.745e+02
         1.0   1.250e+02   4.333e-01   7.943e+02
         1.0   1.262e+02   5.005e-01   7.450e+02
         1.0   1.237e+02   5.057e-01   7.911e+02
         1.0   7.348e+01   7.550e-01   6.690e+02
         1.0   9.958e+01   7.621e-01   5.682e+02
         1.0   1.253e+02   5.393e-01   4.552e+02
         1.0   1.266e+02   2.453e-01   1.396e+03
         1.0   1.155e+02   2.467e-01   6.938e+02
         1.0   1.256e+02   6.457e-01   6.793e+02
         1.0   1.261e+02   6.502e-01   7.805e+02
         1.0   1.255e+02   6.423e-01   2.599e+02
         1.0   1.260e+02   2.797e-01   8.345e+02
         1.0   1.149e+02   8.824e-01   9.115e+02
         1.0   1.240e+02   7.377e-01   7.966e+02
         1.0   1.267e+02   7.508e-01   5.566e+02
         1.0   1.256e+02   6.828e-01   6.379e+02
         1.0   1.259e+02   1.404e-01   7.222e+02
         1.0   1.277e+02   6.560e-01   7.791e+02
         1.0   1.251e+02   5.440e-01   7.222e+02
         1.0   1.186e+02   4.102e-01   7.757e+02
         1.0   1.218e+02   8.679e-01   3.571e+02
         1.0   1.293e+02   2.814e-01   7.792e+02
         1.0   1.243e+02   3.705e-01   3.758e+02
         1.0   8.070e+01   4.857e-01   5.470e+02
         1.0   1.208e+02   6.201e-01   7.139e+02
         1.0   7.380e+01   7.386e-01   7.879e+02
         1.0   8.143e+01   4.692e-01   7.591e+02
         1.0   1.261e+02   4.567e-01   8.309e+02
         1.0   1.266e+02   6.290e-01   9.251e+02
         1.0   1.259e+02   8.863e-01   7.714e+02
