        f_mass4l     f_D_bkg_kin         target
     -1.3094e+00     -1.4284e+00               0
      4.6982e-01      9.7688e-01               1
      3.8684e-01      3.4694e-01               1
     -1.2825e+00     -1.0203e+00               0
     -3.6478e-03     -6.3498e-01               0
      2.2075e+00     -6.9920e-01               0
     -7.8951e-01      1.4924e+00               1
      1.4767e-01      1.4405e+00               1
      3.8196e-01     -1.1344e+00               1
      9.5794e-01     -1.5665e+00               0
      1.9879e+00      4.9539e-01               0
      5.1375e-01     -3.5388e-01               1
      1.7695e-01      7.4596e-01               1
      3.5268e-01      1.1006e-01               1
      3.5268e-01      1.7181e+00               1
     -1.5373e+00     -7.8378e-01               0
      1.4767e-01      1.5556e+00               1
      3.4291e-01      1.4703e+00               1
     -1.3484e+00      1.5366e+00               0
      4.3566e-01     -2.3842e-01               1
     -1.4446e+00      1.6945e+00               0
     -1.1419e+00     -1.0358e+00               0
      2.8922e-01      1.5498e-01               1
      2.6482e-01      1.0990e+00               1
      3.9661e-01      1.5847e+00               1
     -1.2928e+00      4.7328e-01               0
     -1.7926e+00      6.5336e-03               1
     -1.4441e+00     -1.1498e+00               0
      4.5030e-01      1.5128e+00               1
      1.3680e+00     -1.3531e+00               0
      3.6732e-01      1.3741e+00               1
     -1.2513e+00     -3.4581e-01               0
      4.3077e-01      6.4700e-01               0
     -1.5056e+00     -3.7283e-01               0
      1.5255e-01      1.4949e+00               1
     -1.3396e+00      2.8763e-01               0
     -1.4260e+00      2.0025e-01               0
     -1.2435e+00     -9.0555e-01               0
      5.4304e-01      1.0548e+00               0
     -1.6961e-01      1.2138e+00               1
      2.6482e-01      2.3956e-01               1
     -1.3245e+00     -1.3694e+00               0
     -1.0004e+00     -7.0552e-01               0
     -1.1854e+00     -5.1812e-01               0
      5.0399e-01      3.5080e-01               1
     -1.2400e+00     -1.1677e+00               0
      3.5756e-01     -7.1024e-02               1
     -3.4045e-01     -1.2719e+00               0
      6.8948e-01      1.8275e+00               1
     -1.2796e+00      1.2088e+00               0
     -1.2337e+00     -1.4162e+00               0
     -4.5759e-01      5.1539e-01               1
      1.3094e+00      3.3752e-03               0
     -7.8463e-01      4.3608e-01               0
     -9.5694e-01     -8.1817e-01               0
     -6.3820e-01     -6.6376e-01               0
     -1.8214e+00     -9.3784e-01               0
      3.5268e-01     -1.6051e-01               1
     -2.1842e-01      4.5258e-01               1
     -3.7816e-02      1.3275e+00               1
     -1.2947e+00     -1.4694e+00               0
     -1.3782e+00      1.2443e+00               0
      4.2589e-01      1.1162e+00               1
      5.4926e-02      9.9181e-02               1
      4.6006e-01      3.8520e-01               1
      2.7458e-01      7.7333e-01               1
      2.2577e-01      1.1099e+00               1
     -1.3313e+00     -1.3360e+00               0
     -1.2884e+00     -9.4205e-01               0
     -1.2752e+00     -1.5675e+00               0
      3.1851e-01      8.4492e-01               1
      3.6244e-01      1.4089e+00               1
      4.1613e-01      1.7261e+00               1
      4.4542e-01      1.2246e+00               1
      2.5017e-01      1.4043e+00               1
      4.4542e-01     -1.0752e-01               1
      1.8184e-01      1.5092e+00               1
      3.3803e-01     -3.8862e-01               1
     -8.7981e-01     -1.0038e+00               0
      4.0637e-01      1.5363e+00               1
     -1.2435e+00     -1.5746e+00               0
      4.0149e-01      9.3020e-01               1
     -1.1214e+00     -3.9439e-02               0
     -1.2742e+00      4.1978e-02               0
     -1.3601e+00      1.1151e+00               0
      2.5505e-01      1.3548e+00               1
      4.0637e-01     -5.6795e-01               1
      1.8184e-01      5.3891e-01               0
      3.9661e-01      7.6175e-01               1
      4.3077e-01      1.4570e+00               1
     -7.1984e-02      3.5607e-01               0
      2.0952e+00     -1.1309e+00               1
     -1.3084e+00      8.1634e-02               0
      2.5505e-01      7.1683e-01               1
      2.2368e+00      4.0590e-01               0
      1.3680e+00      9.1757e-01               0
      1.3240e+00     -5.1356e-01               0
     -1.4577e+00     -1.0607e+00               0
     -1.5173e+00     -3.3774e-01               0
      2.4529e-01      1.3808e+00               1
      3.5756e-01      1.1457e+00               1
      1.4119e+00     -8.7116e-01               0
      4.7959e-01      3.3045e-01               1
     -5.2593e-01     -1.0863e+00               0
      3.4291e-01      9.5231e-01               0
     -1.2039e+00     -1.3214e+00               0
     -1.0692e+00     -6.3323e-01               0
      6.9436e-01      1.4931e+00               1
      3.9661e-01      1.7563e+00               0
     -1.3635e+00      1.1660e+00               0
      2.3065e-01      1.2443e+00               1
      2.5505e-01     -2.2193e-01               1
      1.1337e+00      6.9367e-01               0
      4.4054e-01      2.4693e-01               1
      3.5401e-02      1.2583e+00               1
      4.0149e-01     -2.5211e-01               1
      1.7695e-01      1.5296e+00               1
      4.7959e-01      1.7191e+00               1
     -1.2864e+00      4.3678e-01               0
      3.6244e-01     -5.0864e-01               1
      3.4779e-01     -1.3075e+00               1
      3.6732e-01      2.8307e-01               1
