        f_mass4l     f_D_bkg_kin          f_pt4l         target
      4.2173e-01     -1.1720e+00      1.3000e-01               1
     -1.3314e+00     -1.1551e+00     -6.9161e-01               0
      3.7245e-01      1.5291e+00      2.7535e-01               1
      2.8373e-01      9.1791e-01     -9.1511e-02               1
      7.6675e-01     -1.6398e+00     -7.1475e-01               0
      3.5273e-01      1.6757e+00      2.9004e+00               1
      1.1167e+00     -1.4793e+00     -4.0502e-01               0
      2.8373e-01      1.3832e+00      1.2304e-01               1
      4.4638e-01     -1.3220e+00     -4.7700e-01               1
      2.8373e-01      1.3750e+00      1.3043e-01               1
      3.6259e-01      1.0182e+00     -3.1846e-01               1
      4.1681e-01     -1.1749e+00      2.6262e+00               1
     -1.3580e+00      1.7463e-01     -6.5852e-01               0
      4.6116e-01     -1.0724e+00     -6.4159e-01               1
     -1.3152e+00     -1.2854e+00     -6.6687e-01               0
     -6.6752e-01     -2.9169e-01      1.5948e+00               1
      4.6609e-01     -2.4541e-01     -2.7603e-01               1
     -1.3876e+00     -9.2192e-01     -4.6242e-01               0
      4.5131e-01     -1.5355e+00      2.8116e+00               1
      4.2666e-01      2.7037e-01      3.1289e+00               1
      4.5624e-01     -2.3198e-01     -2.4731e-01               1
      2.5908e-01      1.3987e+00     -3.1050e-01               1
      4.1681e-01      1.1981e+00      1.6525e-01               1
      6.0903e-01     -6.5379e-01     -1.5505e-01               1
      8.6578e-02     -9.7420e-01      2.2089e+00               1
      3.9709e-01      1.8311e+00     -6.1469e-01               1
     -1.4606e+00     -1.5717e+00     -5.5625e-01               0
     -1.1594e+00     -1.2476e+00     -6.9261e-01               0
      4.0695e-01     -1.0703e+00     -5.8044e-01               1
      2.7880e-01      1.0476e+00     -5.3453e-01               1
      4.0695e-01      1.2941e-01      3.0218e+00               1
      2.5017e+00     -1.6416e+00     -6.8110e-01               0
     -1.1688e+00     -8.7564e-01     -7.1995e-01               0
      7.6720e-02      4.5336e-01      1.6177e-01               1
      3.2809e-01      3.4773e-01     -2.9431e-01               1
      4.5131e-01     -8.2724e-01      2.2128e+00               1
      3.7245e-01      1.4528e+00      6.4222e-01               1
     -2.1901e-01     -3.5881e-01     -5.4206e-01               0
      2.4923e-01      5.4872e-02      1.1564e-01               1
     -1.8524e+00     -9.3570e-01     -6.9624e-01               0
