    f_weight    f_mass4l f_D_bkg_kin      f_pt4l
         1.0   1.262e+02   5.683e-01   2.261e+02
         1.0   1.241e+02   5.493e-01   6.048e+01
         1.0   1.262e+02   6.253e-01   1.822e+01
         1.0   1.248e+02   6.787e-01   4.374e+01
         1.0   1.239e+02   8.063e-01   1.384e+02
         1.0   1.257e+02   6.183e-01   1.871e+02
         1.0   1.272e+02   4.271e-01   8.669e+01
         1.0   1.246e+02   5.876e-01   6.037e+01
         1.0   1.237e+02   4.202e-01   5.403e+01
         1.0   1.324e+02   9.189e-01   1.498e+02
         1.0   1.248e+02   3.505e-01   4.539e+01
         1.0   1.053e+02   6.868e-01   3.177e+01
         1.0   1.241e+02   5.916e-01   8.825e+01
         1.0   1.227e+02   9.537e-01   7.994e+01
         1.0   1.243e+02   7.151e-01   1.275e+02
         1.0   1.258e+02   7.838e-01   1.753e+02
         1.0   1.282e+02   1.173e-01   1.546e+02
         1.0   1.312e+02   8.639e-01   4.567e+01
         1.0   1.276e+02   4.287e-01   2.759e+02
         1.0   1.257e+02   8.639e-01   7.438e+01
         1.0   1.263e+02   9.172e-01   2.848e+01
         1.0   1.242e+02   2.010e-01   1.310e+02
         1.0   1.248e+02   9.913e-01   1.118e+02
         1.0   1.252e+02   8.878e-01   2.755e+02
         1.0   1.213e+02   5.755e-01   6.003e+01
         1.0   1.270e+02   6.338e-01   1.254e+02
         1.0   1.259e+02   7.977e-01   1.517e+02
         1.0   1.245e+02   9.194e-01   6.333e+01
         1.0   1.247e+02   1.569e-01   6.890e+01
         1.0   1.249e+02   7.857e-01   1.094e+02
         1.0   1.155e+02   5.953e-01   1.217e+02
         1.0   1.235e+02   5.886e-01   7.152e+01
         1.0   1.204e+02   5.329e-01   3.038e+01
         1.0   1.260e+02   4.461e-01   6.870e+01
         1.0   1.246e+02   6.599e-01   2.701e+01
         1.0   1.227e+02   3.084e-01   3.953e+01
         1.0   1.202e+02   9.890e-01   9.632e+01
         1.0   1.250e+02   4.971e-01   1.808e+02
         1.0   1.253e+02   8.333e-01   1.384e+02
         1.0   1.255e+02   4.230e-01   2.041e+01
         1.0   1.270e+02   7.923e-01   6.281e+01
         1.0   1.249e+02   6.376e-01   1.073e+02
         1.0   1.262e+02   6.879e-01   9.849e+01
         1.0   1.247e+02   6.999e-01   6.524e+01
         1.0   1.242e+02   9.535e-01   4.407e+01
         1.0   1.257e+02   1.700e-01   3.525e+01
         1.0   1.281e+02   1.391e-01   1.056e+02
         1.0   1.253e+02   3.096e-01   1.041e+01
         1.0   1.269e+02   7.107e-01   1.119e+02
         1.0   1.265e+02   2.795e-01   7.580e+01
         1.0   1.256e+02   9.011e-01   2.130e+01
         1.0   1.241e+02   8.958e-01   1.115e+02
         1.0   1.232e+02   4.890e-01   9.649e+01
         1.0   1.240e+02   3.922e-01   1.592e+02
         1.0   1.243e+02   2.183e-01   9.108e+01
         1.0   1.256e+02   6.911e-01   2.432e+01
         1.0   1.249e+02   3.449e-01   1.900e+01
         1.0   1.255e+02   9.356e-01   6.551e+00
         1.0   1.270e+02   3.248e-01   2.797e+02
         1.0   1.256e+02   4.189e-01   5.913e+01
         1.0   1.267e+02   2.864e-01   1.043e+02
         1.0   1.226e+02   5.311e-01   1.379e+02
         1.0   1.267e+02   3.790e-01   3.372e+01
         1.0   1.258e+02   3.250e-01   7.342e+01
         1.0   1.251e+02   6.337e-01   4.128e+01
         1.0   1.240e+02   4.865e-01   2.674e+01
         1.0   1.259e+02   4.857e-02   2.256e+02
         1.0   1.236e+02   4.051e-01   5.494e+01
         1.0   1.241e+02   3.109e-01   1.584e+02
         1.0   1.250e+02   4.397e-01   1.812e+01
         1.0   1.254e+02   7.041e-01   7.477e+01
         1.0   1.249e+02   6.763e-01   4.863e+01
         1.0   1.263e+02   3.198e-01   3.440e+01
         1.0   1.252e+02   8.878e-01   2.755e+02
         1.0   1.214e+02   2.385e-01   1.038e+02
         1.0   1.252e+02   3.380e-01   1.300e+02
         1.0   1.243e+02   6.442e-01   1.563e+01
         1.0   1.263e+02   7.163e-01   6.990e+01
         1.0   1.246e+02   4.859e-01   1.073e+02
         1.0   1.246e+02   7.029e-01   2.683e+01
         1.0   1.246e+02   7.695e-01   1.578e+02
         1.0   1.258e+02   5.036e-01   1.171e+02
         1.0   1.257e+02   4.190e-01   8.389e+01
         1.0   1.178e+02   9.861e-01   4.447e+01
         1.0   1.151e+02   2.330e-01   9.514e+01
         1.0   1.196e+02   8.434e-01   1.849e+02
         1.0   1.229e+02   7.221e-01   1.708e+02
         1.0   1.267e+02   2.289e-01   4.179e+01
         1.0   1.249e+02   1.980e-01   8.129e+01
         1.0   1.236e+02   8.234e-01   2.693e+01
         1.0   1.258e+02   3.984e-01   6.702e+01
         1.0   1.281e+02   6.923e-01   9.947e+01
         1.0   1.240e+02   3.414e-01   8.535e+01
         1.0   1.230e+02   9.140e-01   2.393e+01
         1.0   1.254e+02   2.838e-01   8.683e+01
         1.0   1.224e+02   2.969e-01   9.312e+00
         1.0   1.224e+02   8.754e-01   1.014e+02
         1.0   1.267e+02   8.609e-01   1.776e+02
         1.0   1.238e+02   3.549e-01   1.338e+02
         1.0   1.220e+02   9.104e-01   4.263e+01
         1.0   1.246e+02   5.876e-01   6.037e+01
         1.0   1.264e+02   2.069e-01   2.078e+01
         1.0   1.242e+02   1.163e-01   5.564e+01
         1.0   1.188e+02   8.931e-01   5.052e+01
         1.0   1.276e+02   2.280e-01   1.279e+02
         1.0   1.216e+02   8.834e-01   6.873e+01
         1.0   1.261e+02   6.961e-01   4.596e+01
         1.0   1.278e+02   8.038e-01   4.871e+01
         1.0   1.240e+02   6.108e-01   1.159e+02
         1.0   1.288e+02   3.453e-01   2.745e+01
         1.0   1.261e+02   7.322e-01   1.818e+02
         1.0   1.260e+02   4.636e-01   1.666e+01
